workclass,education,educational-num,marital-status,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,age_group,occupation_group
2,1,7,4,3,2,1,0,0,40,38,0,agegroup1,occupationgroup2
2,11,9,2,0,4,1,0,0,50,38,0,agegroup2,occupationgroup1
1,7,12,2,0,4,1,0,0,40,38,1,agegroup1,occupationgroup3
2,15,10,2,0,2,1,8,0,40,38,1,agegroup2,occupationgroup2
2,0,6,4,1,4,1,0,0,30,38,0,agegroup2,occupationgroup2
4,14,15,2,0,4,1,3,0,32,38,1,agegroup3,occupationgroup2
2,15,10,4,4,4,0,0,0,40,38,0,agegroup1,occupationgroup2
2,5,4,2,0,4,1,0,0,10,38,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,6,0,40,38,1,agegroup3,occupationgroup2
0,9,13,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,11,9,4,1,4,0,0,0,39,38,0,agegroup1,occupationgroup1
2,11,9,2,0,4,1,3,0,48,38,1,agegroup2,occupationgroup2
2,12,14,2,0,4,1,0,0,50,38,1,agegroup2,occupationgroup1
5,15,10,4,3,4,1,0,0,25,38,0,agegroup1,occupationgroup2
2,11,9,2,5,4,0,0,0,30,38,0,agegroup2,occupationgroup1
2,11,9,6,4,4,0,0,0,20,38,0,agegroup2,occupationgroup2
2,9,13,2,0,4,1,0,0,47,38,1,agegroup2,occupationgroup3
2,15,10,4,3,2,0,0,0,35,38,0,agegroup2,occupationgroup2
2,9,13,4,1,4,1,0,0,43,28,0,agegroup1,occupationgroup2
2,9,13,2,0,4,1,0,0,40,38,0,agegroup1,occupationgroup2
4,11,9,2,0,4,1,7,0,90,38,1,agegroup2,occupationgroup1
2,11,9,4,3,4,1,0,0,20,38,0,agegroup1,occupationgroup1
2,11,9,5,4,2,1,0,0,54,38,0,agegroup1,occupationgroup2
2,11,9,2,0,4,1,0,0,35,38,0,agegroup2,occupationgroup1
4,15,10,4,1,4,1,0,0,60,38,0,agegroup2,occupationgroup2
5,15,10,2,0,2,1,8,0,38,38,1,agegroup2,occupationgroup1
4,1,7,6,4,4,0,0,0,50,38,0,agegroup2,occupationgroup2
4,9,13,4,1,4,1,0,0,50,38,0,agegroup1,occupationgroup3
1,15,10,2,0,4,1,0,0,40,38,0,agegroup1,occupationgroup3
2,11,9,0,4,4,0,0,0,40,38,0,agegroup1,occupationgroup1
1,9,13,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup2
2,4,3,4,1,4,1,0,0,50,12,0,agegroup1,occupationgroup2
2,0,6,4,1,4,1,0,0,40,38,0,agegroup1,occupationgroup2
2,11,9,4,3,4,1,0,0,40,38,0,agegroup1,occupationgroup1
2,12,14,2,0,4,1,0,0,50,38,1,agegroup3,occupationgroup2
3,8,11,2,0,4,1,0,0,45,38,1,agegroup2,occupationgroup3
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,1,7,2,0,4,1,0,0,40,38,0,agegroup1,occupationgroup2
5,15,10,4,3,4,1,0,0,32,38,0,agegroup1,occupationgroup1
2,8,11,2,5,4,0,0,0,36,38,1,agegroup1,occupationgroup2
2,5,4,2,0,4,1,0,0,40,25,0,agegroup2,occupationgroup1
2,15,10,2,0,4,1,4,0,50,38,0,agegroup2,occupationgroup3
2,1,7,5,1,2,0,0,0,18,38,0,agegroup2,occupationgroup2
3,11,9,6,1,4,0,0,0,50,38,0,agegroup2,occupationgroup1
2,15,10,4,3,4,1,0,0,20,38,0,agegroup1,occupationgroup2
2,11,9,0,3,2,1,0,0,40,38,0,agegroup2,occupationgroup2
2,15,10,4,3,4,0,0,2,24,38,0,agegroup1,occupationgroup2
2,11,9,4,1,4,1,14,0,60,38,1,agegroup1,occupationgroup2
2,6,5,3,1,4,1,0,0,54,25,0,agegroup2,occupationgroup1
2,15,10,4,3,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,0,agegroup3,occupationgroup1
1,9,13,2,0,4,1,3,0,50,38,1,agegroup2,occupationgroup1
3,11,9,2,0,4,1,5,0,50,38,1,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup2
2,9,13,4,1,4,0,0,0,50,38,0,agegroup1,occupationgroup1
2,15,10,0,1,4,1,0,0,40,38,0,agegroup2,occupationgroup3
2,12,14,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,11,9,4,3,4,0,0,0,40,38,0,agegroup2,occupationgroup2
1,11,9,0,1,4,0,0,0,40,38,0,agegroup2,occupationgroup1
3,7,12,2,0,4,1,15,0,60,38,1,agegroup2,occupationgroup1
2,15,10,4,3,4,1,0,0,20,38,0,agegroup1,occupationgroup2
2,11,9,5,1,4,1,0,0,40,38,0,agegroup2,occupationgroup3
2,11,9,2,0,4,1,0,0,48,38,0,agegroup2,occupationgroup3
2,15,10,2,0,4,1,15,0,45,38,1,agegroup2,occupationgroup1
2,8,11,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup3
2,11,9,2,0,4,1,0,0,40,25,0,agegroup1,occupationgroup2
2,15,10,5,1,4,0,0,0,40,38,0,agegroup1,occupationgroup2
2,15,10,2,0,3,1,0,0,40,5,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,50,38,0,agegroup2,occupationgroup2
3,11,9,2,0,4,1,0,0,30,38,0,agegroup3,occupationgroup3
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup3
2,15,10,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup1
3,15,10,2,0,4,1,0,0,50,38,0,agegroup2,occupationgroup2
2,9,13,4,1,4,1,0,0,40,38,0,agegroup1,occupationgroup1
2,15,10,5,1,4,1,0,2,40,38,0,agegroup1,occupationgroup2
4,15,10,2,0,4,1,0,0,50,38,0,agegroup2,occupationgroup1
2,11,9,5,1,4,0,0,0,44,38,0,agegroup2,occupationgroup2
0,1,7,4,3,4,0,0,0,10,38,0,agegroup1,occupationgroup2
2,11,9,2,0,4,1,0,0,56,38,1,agegroup2,occupationgroup3
0,15,10,4,1,4,1,0,0,40,38,0,agegroup1,occupationgroup1
2,9,13,4,1,4,0,0,0,25,38,0,agegroup2,occupationgroup1
0,5,4,4,1,2,1,0,0,20,38,0,agegroup2,occupationgroup2
2,12,14,2,5,4,0,5,0,10,38,1,agegroup2,occupationgroup2
0,9,13,0,1,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,12,14,4,1,0,1,0,0,40,38,0,agegroup2,occupationgroup2
2,11,9,4,3,4,1,0,0,40,38,0,agegroup1,occupationgroup2
2,9,13,4,3,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,0,6,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup3
